#BLTrackFile VirtualDetector/DetBackward
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
17.9595 -25.6582 -0.5 0.00247914 -0.00472303 -0.612681 7.13237 22 1 1031 1 1
-2400.67 129.182 -0.5 -0.46683 0.0238743 -0.206446 12.2858 22 1 2006 1985 1
5143.17 2290.25 -0.5 0.433128 0.19403 -0.0855728 22.5706 22 1 2912 2855 1
-931.764 -976.269 -0.5 -0.553582 -0.590523 -0.677755 9.76607 11 1 4380 4379 1
-13.9684 -1056.45 -0.5 0.060079 -0.948166 -0.996876 8.53156 22 1 4381 4380 1
-409.979 223.812 -0.5 -0.16597 0.0662418 -0.369228 7.99471 22 1 4491 4460 1
-124.381 -747.813 -0.5 -0.0776368 -0.465252 -0.606056 8.36728 22 1 4504 4460 1
2797.48 804.969 -0.5 0.604587 0.175918 -0.224678 109.8 22 1 4535 4508 1
-4240.42 3037.07 -0.5 -0.316696 0.225266 -0.0787498 21.3112 22 1 5634 5602 1
-0.762137 228.178 -0.5 0.0259288 0.192061 -0.752611 6.96729 22 1 10091 10090 1
-2178.69 1165.71 -0.5 -0.428381 0.230576 -0.18321 12.7489 22 1 10819 10818 1
269.787 -4271.51 -0.5 0.0731007 -1.04434 -0.243866 18.3709 22 1 11238 11071 1
-770.949 -922.299 -0.5 -0.76919 -0.945519 -1.03435 8.90359 22 1 11349 11071 1
-689.439 -128.59 -0.5 -1.0002 -0.105294 -1.46642 7.86753 22 1 11413 11387 1
-63.4484 -996.814 -0.5 -0.0077655 -0.249407 -0.25698 8.44281 22 1 11431 11387 1
-554.687 -1387.94 -0.5 -0.093409 -0.22842 -0.154412 9.00844 22 1 13959 1 1
-2486.57 -1685.97 -0.5 -0.280062 -0.189047 -0.121413 14.0972 22 1 14597 14243 1
4210.01 -1796.6 -0.5 2.04731 -0.873978 -0.5198 19.2631 22 1 17059 16945 1
882.059 -2458.14 -0.5 2.50856 -6.97511 -3.03319 12.9961 22 1 17060 16945 1
-1550.02 203.586 -0.5 -0.339556 0.0416431 -0.218238 9.53369 22 1 18513 18497 1
-413.9 -598.597 -0.5 -0.118899 -0.214554 -0.312227 7.89545 22 1 21410 21409 1
-261.793 -1125.12 -0.5 -0.182031 -0.815038 -0.770392 8.7904 22 1 21963 21962 1
3856.45 -457.915 -0.5 0.97909 -0.137202 -0.272641 17.0975 22 1 22304 22177 1
1925.54 -3360.92 -0.5 0.467376 -0.804714 -0.25668 16.9547 22 1 23196 23061 1
-2320.95 720.446 -0.5 -1.02439 0.321421 -0.460268 12.3285 22 1 23952 23951 1
-972.693 -6775.58 -0.5 -0.857021 -6.0061 -0.915389 26.5262 22 1 24884 24883 1
4217.71 1144.25 -0.5 3.15686 0.861779 -0.804566 18.6488 22 1 25100 25099 1
