#BLTrackFile VirtualDetector/DetSideways
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
8566.92 -5158.29 150.787 0.436232 -0.262422 -0.0442276 36.9082 22 1 4691 4690 1
-9958.47 -910.416 1832.67 -1.48627 -0.134629 0.11708 36.9835 22 2 3090 3089 1
-9740.6 2262.89 331.438 -0.419429 0.0971072 -0.0300622 36.7835 22 2 3716 3715 1
-4317.71 9019.83 1624.46 -0.193954 0.405746 0.028855 36.8143 22 2 5338 5280 1
-5675.92 -8233.1 1802 -0.250115 -0.362644 0.0336571 36.9718 22 2 6236 6235 1
2529.72 9674.74 140.977 0.12901 0.492574 -0.042981 36.769 22 2 7793 7770 1
-1919.85 9813.98 418.2 -0.410357 2.10828 -0.127043 36.745 22 2 10172 10087 1
-9987.62 497.395 86.332 -2.32682 0.114253 -0.204663 36.7124 22 2 11981 11980 1
3204.94 9472.51 1933.03 0.326151 0.962267 0.0940477 36.813 22 2 12242 12241 1
7689.16 6393.5 1575.26 2.20446 1.82732 0.14745 36.9173 22 2 13944 13927 1
1501.69 9886.6 1080.5 0.05472 0.360754 0.00235597 36.7177 22 3 1412 1 1
-8378.26 -5459.37 961.786 -0.428589 -0.278265 -0.000674574 36.6709 22 3 2879 2876 1
-4530.1 8915.05 616.996 -0.223981 0.441176 -0.0209616 36.9536 22 3 5886 5858 1
-9429.9 3328.21 1715.86 -0.389805 0.13683 0.0316398 36.8199 22 3 8567 8558 1
9012.31 4333.4 1484.74 0.984482 0.472862 0.047668 36.9308 22 3 12272 12271 1
-9359.98 3520.04 900.727 -0.36555 0.137628 -0.00511659 36.9906 22 4 1018 1017 1
-1358 9907.36 495.086 -0.202025 1.45958 -0.0810061 36.9241 22 4 1436 1435 1
3361.21 9418.19 1679 0.163558 0.46051 0.0295106 36.9706 22 4 1849 1721 1
753.949 -9971.54 109.968 0.0369702 -0.487221 -0.0452155 36.9982 22 4 2928 2927 1
9653.45 -2609.75 34.0928 0.250785 -0.0670811 -0.0256789 36.9462 22 4 3757 3756 1
9916.04 -1293.09 673.725 0.544342 -0.0713238 -0.0211888 36.8636 22 4 4527 4483 1
3879.67 -9216.73 617.011 0.212101 -0.515224 -0.0252773 37.073 22 4 5890 5889 1
7859.98 6182.3 950.254 1.76114 1.38258 -0.0233028 36.7328 22 4 6762 6761 1
-8496.61 -5273.29 1225.92 -0.67314 -0.415314 0.0194847 36.7295 22 4 10298 10125 1
-5599.18 -8285.48 791.577 -0.564051 -0.834364 -0.024751 36.8412 22 4 16302 16227 1
-7267.88 -6868.62 1859.65 -0.371441 -0.348658 0.0398562 37.0799 22 4 17436 17435 1
-9940.18 -1092.13 46.7146 -0.930432 -0.102229 -0.0874225 36.81 22 4 19081 19014 1
-7610.4 6487.04 598.143 -0.247249 0.209367 -0.0133574 36.8341 22 4 20830 20439 1
-4953.98 8686.66 1457.4 -0.253073 0.443495 0.0196577 36.9936 22 5 1204 1200 1
-3246.97 9458.18 258.635 -0.239874 0.701112 -0.0574076 36.9118 22 5 3126 3027 1
7807.21 -6248.8 410.976 0.338283 -0.274436 -0.0284262 37.0134 22 5 3531 1160 1
-3215.71 -9468.86 1039.17 -0.578592 -1.70831 -0.00591731 36.9243 22 5 9075 9074 1
8589.35 -5120.85 685.193 0.218263 -0.131217 -0.00960737 36.8274 22 6 6760 6625 1
5939.53 -8045 894.313 0.228379 -0.309035 -0.00383279 37.1045 22 6 8293 8261 1
-2619.72 -9650.75 1734.39 -2.00451 -7.35571 0.523052 37.0281 22 6 9567 9491 1
5609.73 8278.34 1607.17 0.27741 0.409316 0.0301033 36.7063 22 6 13450 13434 1
-9777.76 2096.5 1449.96 -0.500034 0.103538 0.0191366 37.0384 22 7 2448 2447 1
9806.32 -1958.61 700.464 0.500034 -0.103538 -0.0191366 37.1318 22 7 2449 2447 1
-4533.16 8913.5 507.76 -11.7063 22.9712 -1.32984 1220.31 2112 8 3760 3701 1
-7535.34 -6574.09 1805.94 -35.8372 -31.2041 3.70967 664.252 2112 8 3823 3532 1
-3758.52 9266.8 1773.57 -5.44595 13.3108 1.03864 2206.14 2112 8 3894 3892 1
-6829.13 -7305 894.11 -0.55739 -0.591548 -0.00585616 36.709 22 9 1906 1905 1
-6938.37 7201.32 140.968 -0.137393 0.142312 -0.0180034 36.8492 22 9 2061 1962 1
-5683.63 8227.78 415.179 -0.682586 0.984541 -0.078767 36.9556 22 9 5046 5000 1
4674.2 8840.35 1669.89 3.70203 7.00773 0.477925 36.9799 22 9 7731 7710 1
-8671.32 -4980.78 1789.08 -0.842002 -0.483424 0.0703164 37.0665 22 9 9882 9881 1
7038.6 7103.38 1880.32 1.53548 1.55297 0.177003 37.084 22 9 10623 10622 1
-9775.32 2107.85 1502.48 -0.294185 0.064159 0.0127819 37.0244 22 9 10624 10622 1
8181.22 5750.44 1312.82 3.51729 2.47316 0.100408 37.2478 -11 9 11664 11663 1
9985.59 536.58 1155.25 0.431204 0.0243333 0.00413943 36.8321 22 10 2534 2507 1
6854.38 7281.31 1130.75 1.53473 1.62926 0.0250687 36.7346 22 10 4310 4155 1
2632.38 9647.31 86.3474 0.163236 0.603308 -0.0612118 36.9983 22 10 6384 6323 1
8631.02 5050.29 431.12 0.253707 0.149514 -0.0181331 36.8804 22 10 9308 9271 1
1938.77 9810.26 1877.86 0.0845296 0.407073 0.0332718 37.2764 22 11 1368 1340 1
721.054 9973.97 61.9946 0.687121 9.53595 -0.934204 36.9325 22 11 6316 6138 1
7978.78 6028.19 584.934 0.392713 0.296632 -0.0222617 36.8207 22 11 15242 15241 1
-7241.99 6895.91 348.746 -0.358022 0.340904 -0.0310382 36.6655 22 12 2212 2117 1
-2408.53 -9705.62 705.472 -0.250526 -1.01758 -0.0390247 37.0434 22 12 7177 7175 1
8877.6 4603.07 1543.62 1.01248 0.519979 0.0555669 36.9919 22 12 11990 11989 1
9398.97 3414.57 1455.05 0.568222 0.204954 0.0275682 36.7281 22 12 15678 15627 1
-1096.36 -9939.72 1023.63 -0.544967 -4.92953 0.0338628 36.5428 22 12 15957 15904 1
8779.32 -4787.86 418.411 0.317937 -0.173813 -0.0231912 36.9462 22 13 5501 5500 1
-8993.01 4373.31 989.178 -0.460132 0.222251 -0.00164837 36.7866 22 13 9547 9546 1
-8739.42 4860.31 1681.45 -0.535275 0.293348 0.042842 36.9588 22 13 9608 9546 1
8190.8 5736.8 1765.83 0.265561 0.185412 0.0248856 36.9117 22 13 12243 12242 1
9244.71 -3812.53 396.05 0.371653 -0.154657 -0.02199 36.8706 22 13 13991 13965 1
4692.26 8830.78 1244.58 0.228132 0.431832 0.00913478 36.7611 22 13 14035 13965 1
-9177.65 -3971.23 1598.25 -0.46814 -0.203046 0.0271617 37.0188 22 14 1963 1959 1
6007.65 -7994.26 94.6055 0.233734 -0.315508 -0.0381041 37.0991 22 14 5748 5723 1
5566.6 8307.41 290.672 0.28332 0.423566 -0.0379645 36.8664 22 14 6338 6337 1
-7055.82 -7086.29 1233.7 -0.29462 -0.291159 0.00639916 37.2114 22 14 8233 8146 1
1656.73 -9861.81 1026.12 0.442876 -2.65197 -0.00146528 36.816 22 14 11220 11155 1
3665.19 9304.11 763.075 12.8392 32.622 -0.902856 900.025 2112 15 3926 3744 1
9115.31 -4112.31 1713.71 0.464899 -0.209169 0.0351709 36.8925 22 15 3929 3928 1
-7953.38 -6061.66 1102.69 -0.497529 -0.377758 0.00198849 36.9259 22 15 6351 6328 1
-6980.34 -7160.65 1316.89 -0.49607 -0.507593 0.0219061 36.7052 22 15 8612 8611 1
-4009.56 9160.97 1742.53 -0.14084 0.322793 0.0248346 36.9698 22 15 9843 9842 1
-9543.7 2986.25 123.885 -0.48554 0.152391 -0.0463423 36.9486 22 15 10089 10088 1
-2439.35 9697.92 184.173 -0.793823 3.08716 -0.265373 36.851 22 15 10410 10409 1
-666.549 -9977.76 791.671 -0.0844518 -1.25971 -0.0349714 36.8746 22 16 1388 1340 1
4607.25 8875.43 1260.43 0.404377 0.779164 0.0265703 36.5437 22 16 9793 9792 1
2503.88 9681.45 514.9 0.120349 0.46716 -0.026893 36.8735 22 16 10143 10129 1
-5887.86 8082.89 1824.42 -2.73033 3.76613 0.358523 36.9643 22 17 2686 2685 1
2870.69 9579.1 1127.18 0.113873 0.380079 0.00582985 36.665 22 17 3764 1 1
471.392 -9988.88 1685.24 0.683278 -14.5418 0.945761 36.808 22 17 8706 8476 1
4789.73 -8778.29 376.365 0.141384 -0.258973 -0.0202183 36.9047 22 17 9172 8476 1
-9136.02 -4066.11 1794.38 -1.05269 -0.464128 0.0843026 36.8893 22 17 10714 10575 1
9995.27 -307.695 1834.81 0.542474 -0.0156383 0.0467721 36.7495 22 17 12622 12620 1
-8503.13 -5262.77 1753.23 -0.23867 -0.146611 0.0190115 36.9999 22 17 13672 13636 1
-8537.93 -5206.13 1262.07 -0.437177 -0.264381 0.00992975 36.9318 22 17 13880 13829 1
8859.32 4638.15 1143.55 0.221401 0.115604 0.00400309 36.7236 22 18 4264 4263 1
-5839.28 8118.05 1540.31 -0.170349 0.2361 0.0153226 37.2018 22 18 8234 8231 1
-3739.26 9274.59 66.39 -0.417269 1.03414 -0.100618 36.7261 22 18 10737 10736 1
-3229.58 -9464.13 1421.91 -0.106278 -0.31669 0.0130568 36.7845 22 19 1481 1480 1
-8127.82 5825.68 142.139 -0.40383 0.288949 -0.0443754 37.0106 22 19 3691 3690 1
637.142 -9979.68 88.5856 0.0248347 -0.42401 -0.0369489 36.9976 22 19 6324 6219 1
-6580.62 7529.64 868.454 -0.931268 1.06459 -0.0257507 36.9264 22 19 7988 7987 1
-4039.71 -9147.72 1303.16 -0.221297 -0.50718 0.0180424 36.8028 22 19 9476 9417 1
-899.659 9959.45 677.121 -0.166305 1.85102 -0.0630091 36.7253 22 20 2502 2384 1
