# Target
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Edep VisibleEdep Ntracks
-6.23952 -0.103869 -79 -1.83838 -0.430078 10000.5 3.07213 11 1 1 0 1 3722.22 3722.22 36311 
-0.501717 6.07973 -79 -0.378364 0.764798 10000.5 3.07213 11 2 1 0 1 3842.55 3842.55 35417 
4.31954 -1.45516 -79 -0.800027 1.28164 10000.5 3.07213 11 3 1 0 1 2497.3 2497.3 23787 
9.61747 2.47609 -79 0.443134 1.7398 10000.5 3.07213 11 4 1 0 1 4151.21 4151.21 39136 
-4.66812 -2.12987 -79 2.73757 -0.887004 10000.5 3.07213 11 5 1 0 1 3174.77 3174.77 30977 
5.60055 14.0139 -79 -0.508425 -0.14073 10000.5 3.07213 11 6 1 0 1 1994.98 1994.98 17801 
0.501507 14.2853 -79 0.276668 3.30248 10000.5 3.07213 11 7 1 0 1 2078.59 2078.59 17798 
11.0312 -2.65221 -79 1.83729 1.64352 10000.5 3.07213 11 8 1 0 1 1867.38 1867.38 18566 
-3.88644 -1.53438 -79 -0.275122 -0.262711 10000.5 3.07213 11 9 1 0 1 2600.06 2600.06 24024 
5.1535 -2.63214 -79 1.16285 0.557275 10000.5 3.07213 11 10 1 0 1 2947.83 2947.83 27406 
6.5727 10.7037 -79 1.30199 -1.71052 10000.5 3.07213 11 11 1 0 1 1905.48 1905.48 18652 
-2.37449 4.28078 -79 1.54962 0.0123401 10000.5 3.07213 11 12 1 0 1 2595.41 2595.41 25977 
10.1126 4.3558 -79 -0.271702 0.462016 10000.5 3.07213 11 13 1 0 1 3334.48 3334.48 31463 
8.94956 8.16179 -79 0.213162 1.58276 10000.5 3.07213 11 14 1 0 1 3871.9 3871.9 36620 
-0.430483 -13.3625 -79 -0.431949 0.949105 10000.5 3.07213 11 15 1 0 1 3488.23 3488.23 34511 
4.1873 5.66418 -79 -0.305254 -1.25595 10000.5 3.07213 11 16 1 0 1 4705.79 4705.79 45887 
-2.41029 -10.9474 -79 1.64856 -0.230833 10000.5 3.07213 11 17 1 0 1 3275.51 3275.51 31774 
-0.159326 9.95357 -79 0.225959 -1.13194 10000.5 3.07213 11 18 1 0 1 2994.57 2994.57 28792 
3.88638 -9.01054 -79 -0.605359 -0.912573 10000.5 3.07213 11 19 1 0 1 3184.7 3184.7 30320 
-5.24962 5.90325 -79 -0.469492 0.511011 10000.5 3.07213 11 20 1 0 1 2652.28 2652.28 25566 
4.31705 -3.98569 -79 0.181764 -0.401715 10000.5 3.07213 11 21 1 0 1 3566.51 3566.51 34447 
-3.8363 12.7599 -79 -0.419417 1.25156 10000.5 3.07213 11 22 1 0 1 2046.85 2046.85 19005 
6.99771 2.7461 -79 2.19534 0.401954 10000.5 3.07213 11 23 1 0 1 2178.32 2178.32 20425 
-2.11625 4.25724 -79 0.66693 1.33785 10000.5 3.07213 11 24 1 0 1 2867.57 2867.57 26914 
-8.15774 2.01102 -79 -1.26123 0.17215 10000.5 3.07213 11 25 1 0 1 2952.09 2952.09 29075 
