# Det5
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Edep VisibleEdep Ntracks
-6.00959 1.22981 -7.9 3.46265 17.5164 233.489 3.52026 11 1 1 0 1 260.705 260.705 2442 
-1.24478 3.44395 -7.9 -7.09013 -14.3512 111.962 3.5205 11 2 1 0 1 101.312 101.312 1186 
5.32665 0.106601 -7.9 -7.86032 23.1947 314.824 3.52036 11 3 1 0 1 81.7677 81.7677 805 
9.52914 2.31061 -7.9 -13.9425 5.83655 1490.89 3.52011 11 4 1 0 1 566.548 566.548 5926 
-4.68904 -2.29184 -7.9 -13.8924 18.9775 1365.07 3.5201 11 5 1 0 1 183.541 183.541 2136 
5.96488 13.9656 -7.9 10.585 2.41542 463.634 3.52011 11 6 1 0 1 154.263 154.263 1357 
0.335689 14.1924 -7.9 -12.4114 -2.77461 2756.74 3.5201 11 7 1 0 1 446.321 446.321 4732 
10.9139 -2.68296 -7.9 -6.10238 0.0217749 76.1008 3.52011 11 8 1 0 1 253.103 253.103 2298 
-4.31092 -0.848342 -7.9 -3.71265 0.941173 271.66 3.52013 11 9 1 0 1 239.037 239.037 2221 
5.02032 -2.60287 -7.9 -7.15643 13.7872 2045.94 3.5201 11 10 1 0 1 269.196 269.196 2833 
-1.97911 23.6287 -7.9 -0.462357 0.418565 1.26841 3.53427 22 11 1036 1 1 208.48 208.48 2209 
6.4903 12.2344 -7.9 -3.70898 -13.7876 14.9314 3.52592 11 12 1 0 1 208.888 208.888 1870 
19.0979 25.5833 -7.9 0.326185 0.32912 0.276754 3.57352 22 13 1048 1 1 96.664 96.664 1329 
15.9238 7.68872 -7.9 0.100062 0.338609 0.188907 3.55311 22 14 1015 1 1 184.921 184.921 1735 
-0.384689 -13.305 -7.9 0.67492 -0.699788 979.637 3.5201 11 15 1 0 1 255.976 255.976 2496 
11.3286 22.9017 -7.9 6.29598 12.6107 25.5774 3.53548 11 16 1 0 1 263.94 263.94 2576 
-2.28838 -11.1325 -7.9 32.1702 -33.4316 5319.33 3.5201 11 17 1 0 1 99.2766 99.2766 996 
-0.138296 9.76548 -7.9 -7.82717 -16.6092 2036.51 3.5201 11 18 1 0 1 242.683 242.683 2429 
3.83709 -9.07182 -7.9 -1.91654 -9.8213 2326.9 3.5201 11 19 1 0 1 226.885 226.885 2567 
-5.17515 5.77571 -7.9 -3.52893 1.2359 329.616 3.52011 11 20 1 0 1 158.189 158.189 1291 
45.0592 29.6098 -7.9 0.153671 0.780095 0.442981 3.63836 22 21 1017 1 1 129.038 129.038 1543 
-3.42985 12.9871 -7.9 21.4735 6.04129 408.829 3.52014 11 22 1 0 1 283.846 283.846 2872 
7.01648 2.90668 -7.9 -4.75382 7.67577 373.162 3.5201 11 23 1 0 1 228.836 228.836 2103 
-2.08827 4.25676 -7.9 0.527795 2.02678 1640.27 3.5201 11 24 1 0 1 404.426 404.426 3744 
-8.00341 9.38389 -7.9 -2.02812 22.5233 51.574 3.52365 11 25 1 0 1 159.313 159.313 1570 
5.61416 -4.5421 -7.9 1.39134 18.1949 1266.62 3.52011 11 26 1 0 1 264.425 264.425 2463 
-4.61016 3.23077 -7.9 1.47514 14.5714 4045.88 3.5201 11 27 1 0 1 229.48 229.48 2154 
-0.0120209 -5.84343 -7.9 -22.8853 -22.9551 142.962 3.5204 11 28 1 0 1 323.082 323.082 3452 
3.80447 -3.31827 -7.9 34.3187 -19.712 477.648 3.52019 11 29 1 0 1 157.427 157.427 1558 
-2.36205 -12.931 -7.9 -12.1545 -8.52417 77.9825 3.52016 11 30 1 0 1 331.165 331.165 3049 
4.23721 8.74049 -7.9 -4.64286 5.91282 3162.04 3.5201 11 31 1 0 1 229.623 229.623 2462 
-4.42462 4.18624 -7.9 -6.88762 20.5361 709.791 3.52014 11 32 1 0 1 313.587 313.587 3254 
2.70811 2.89416 -7.9 14.7489 2.60994 58.2208 3.52061 11 33 1 0 1 203.494 203.494 1899 
7.62554 8.11438 -7.9 -2.58369 -12.9364 233.658 3.52013 11 34 1 0 1 209.811 209.811 2167 
-4.06738 -9.79523 -7.9 12.6485 -1.87025 1733.45 3.52011 11 35 1 0 1 324.319 324.319 3556 
-1.94826 -0.0735062 -7.9 -0.549697 -21.1747 2357.6 3.5201 11 36 1 0 1 232.156 232.156 2264 
-7.06666 -2.732 -7.9 1.0432 -0.0672982 39.3467 3.52011 11 37 1 0 1 277.802 277.802 2747 
0.330682 -0.225253 -7.9 1.10113 -3.85707 184.461 3.52011 11 38 1 0 1 180.391 180.391 1531 
0.167361 -7.08099 -7.9 2.06692 -2.46972 859.29 3.5201 11 39 1 0 1 214.708 214.708 3250 
-6.26819 3.76406 -7.9 -3.29032 13.4709 102.85 3.5203 11 40 1 0 1 193.257 193.257 1881 
-1.37108 20.6788 -7.9 -0.425707 1.1044 1.31311 3.54977 22 41 1098 1 1 244.568 244.568 2361 
1.41215 1.62988 -7.9 -9.66315 -4.28079 204.673 3.5202 11 42 1 0 1 205.047 205.047 1861 
14.3635 18.8156 -7.9 0.275767 0.119033 1.26758 3.53321 22 43 1001 1 1 42.6206 42.6206 494 
-7.78576 3.304 -7.9 -16.8862 -5.38311 236.469 3.52012 11 44 1 0 1 199.931 199.931 2169 
1.0771 -3.73695 -7.9 -0.756927 1.84534 1003.88 3.5201 11 45 1 0 1 311.304 311.304 3422 
13.4695 5.71772 -7.9 -4.12379 8.89446 1783.99 3.5201 11 46 1 0 1 173.12 173.12 1918 
5.44534 -1.74234 -7.9 1.80538 4.4345 6137.68 3.5201 11 47 1 0 1 134.109 134.109 1337 
2.86628 -2.0501 -7.9 4.22554 -3.50327 174.989 3.52015 22 48 1050 1 1 299.437 299.437 3179 
-8.43471 -5.52334 -7.9 12.5361 -4.84504 244.307 3.52011 11 49 1 0 1 143.042 143.042 1411 
18.4893 0.295654 -7.9 24.9064 -5.24537 96.8141 3.52128 11 50 1 0 1 278.009 278.009 3357 
0.411479 1.51384 -7.9 8.6002 16.152 499.011 3.52016 11 51 1 0 1 232.956 232.956 2426 
-3.34577 10.0043 -7.9 1.49721 -2.18837 72.1009 3.52016 11 52 1 0 1 179.115 179.115 1766 
-7.33024 -3.85798 -7.9 6.17144 -7.55159 1944.39 3.5201 11 53 1 0 1 67.55 67.55 716 
4.70393 -2.6488 -7.9 19.9826 2.3865 3202.94 3.5201 11 54 1 0 1 296.06 296.06 2946 
7.32813 -4.57645 -7.9 1.61293 3.41723 153.402 3.52011 11 55 1 0 1 156.446 156.446 1732 
1.41476 5.88317 -7.9 -6.17905 -5.1769 2160.99 3.5201 11 56 1 0 1 198.14 198.14 2265 
11.7198 8.36073 -7.9 -12.4257 1.79583 1575.48 3.5201 11 57 1 0 1 231.228 231.228 2342 
2.94348 -13.6496 -7.9 -9.32757 -6.68725 3179.83 3.5201 11 58 1 0 1 240.743 240.743 2464 
4.04437 -0.875315 -7.9 -0.821762 -2.52019 1017.27 3.52011 11 59 1 0 1 181.303 181.303 1801 
-9.94815 6.70209 -7.9 25.4321 8.91974 284.264 3.52026 11 60 1 0 1 350.336 350.336 3578 
2.31827 -0.217652 -7.9 -0.647167 3.75864 15.211 3.52285 22 61 1031 1 1 92.6004 92.6004 1344 
5.58862 -11.5828 -7.9 -11.8103 -7.07593 1484.44 3.52011 11 62 1 0 1 172.514 172.514 1711 
4.34501 -2.27279 -7.9 1.83415 -4.69324 180.982 3.52012 11 63 1 0 1 48.4029 48.4029 421 
4.07858 -6.56429 -7.9 -20.6485 -0.484134 956.21 3.52011 11 64 1 0 1 391.8 391.8 3570 
5.47877 -0.47244 -7.9 -10.898 -13.1412 1226.29 3.52011 11 65 1 0 1 287.025 287.025 2709 
6.50916 1.27435 -7.9 16.559 6.68525 1750.24 3.5201 11 66 1 0 1 291.623 291.623 3318 
7.66584 8.33038 -7.9 2.74842 6.68836 11.28 3.5335 11 67 1 0 1 220.843 220.843 1938 
3.61608 0.510906 -7.9 12.7109 2.41757 870.172 3.52011 11 68 1 0 1 204.958 204.958 1728 
10.6769 4.94285 -7.9 -3.36517 12.7748 2292.54 3.5201 11 69 1 0 1 272.977 272.977 2459 
0.659916 2.47947 -7.9 1.02295 22.1943 678.642 3.52012 11 70 1 0 1 392.412 392.412 4363 
-0.742492 17.6263 -7.9 -4.06197 1.73575 35.8924 3.52351 11 71 1 0 1 404.372 404.372 4752 
-1.0545 1.89193 -7.9 12.5561 18.2225 6913.32 3.5201 11 72 1 0 1 94.3263 94.3263 1021 
2.24392 1.7079 -7.9 2.97061 20.8347 4384.76 3.5201 11 73 1 0 1 64.9592 64.9592 707 
-3.86273 3.81576 -7.9 -3.29684 4.55532 41.0554 3.52027 11 74 1 0 1 153.828 153.828 1624 
2.81661 3.26083 -7.9 11.2911 25.399 425.228 3.52018 11 75 1 0 1 230.774 230.774 2694 
2.85393 0.709433 -7.9 -0.487412 -6.36598 714.798 3.5201 11 76 1 0 1 105.755 105.755 1221 
-3.57979 7.42648 -7.9 -5.75662 -2.0116 95.3863 3.52013 11 77 1 0 1 164.689 164.689 2003 
0.968326 -4.22682 -7.9 9.65551 -1.61853 107.792 3.52021 11 78 1 0 1 242.055 242.055 2406 
-11.5951 -1.19236 -7.9 -8.36398 -10.7122 65.4896 3.52035 11 79 1 0 1 348.32 348.32 3702 
6.39755 7.5388 -7.9 4.89231 10.3223 17.046 3.52641 11 80 1 0 1 422.443 422.443 4710 
-7.83695 6.62875 -7.9 -24.9339 2.4402 5652.8 3.5201 11 81 1 0 1 218.209 218.209 1927 
-1.45804 -4.40443 -7.9 -16.3351 -23.7375 4078.93 3.5201 11 82 1 0 1 192.201 192.201 1837 
-1.41389 -1.03423 -7.9 5.27822 -2.67824 1390.9 3.5201 11 83 1 0 1 171.357 171.357 1813 
7.28785 3.27562 -7.9 -2.67823 -2.99094 33.9595 3.52048 11 84 1 0 1 176.815 176.815 1729 
-9.19097 6.18469 -7.9 -0.287668 11.537 3936.04 3.5201 11 85 1 0 1 263.758 263.758 2481 
-4.63231 3.19446 -7.9 9.07944 5.4527 49.3615 3.52038 11 86 1 0 1 163.299 163.299 1681 
-8.02248 8.01205 -7.9 3.5058 -5.43373 1417.07 3.5201 11 87 1 0 1 175.287 175.287 2007 
2.71272 -6.65582 -7.9 -5.09301 -10.3875 546.533 3.52011 11 88 1 0 1 168.441 168.441 1884 
-1.98571 2.07935 -7.9 5.09607 -1.4882 1821.98 3.5201 11 89 1 0 1 165.303 165.303 1518 
3.48926 9.98573 -7.9 1.60882 0.160732 596.49 3.5201 11 90 1 0 1 444.288 444.288 4265 
12.8463 -6.65147 -7.9 10.8473 10.9186 957.8 3.5201 11 91 1 0 1 194.134 194.134 1940 
-4.85476 5.91522 -7.9 5.44813 -18.9792 3545.59 3.5201 11 92 1 0 1 208.612 208.612 2289 
-5.69496 -1.17311 -7.9 -1.66388 -9.22643 1755.48 3.5201 11 93 1 0 1 175.367 175.367 1753 
-4.95763 23.7921 -7.9 -0.435919 2.71657 2.18465 3.55255 11 94 1 0 1 198.294 198.294 2185 
1.65847 -25.9293 -7.9 7.93484 -4.29838 14.2759 3.52252 11 95 1 0 1 180.689 180.689 1860 
15.2076 -12.6357 -7.9 0.0162253 0.059208 0.013594 3.5549 22 96 1048 1 1 155.255 155.255 1593 
-4.88746 2.38731 -7.9 -20.9226 11.2024 372.733 3.52018 11 97 1 0 1 269.276 269.276 3178 
-2.94255 -3.28426 -7.9 -5.43128 -4.68989 245.214 3.52011 11 98 1 0 1 158.85 158.85 1723 
1.76147 -8.82815 -7.9 40.3694 -4.77316 1042.04 3.52015 11 99 1 0 1 268.393 268.393 2594 
4.56459 0.469469 -7.9 3.98509 0.594184 7.53116 3.53012 22 100 1049 1 1 170.573 170.573 1943 
-2.03935 5.51923 -7.9 -8.56739 -0.950611 1943.32 3.5201 11 101 1 0 1 85.5342 85.5342 978 
8.37054 7.80806 -7.9 3.07119 24.7915 313.572 3.5202 11 102 1 0 1 213.597 213.597 2570 
7.56836 -1.89806 -7.9 3.12365 3.80645 833.861 3.5201 11 103 1 0 1 208.877 208.877 2154 
-5.07263 -1.05272 -7.9 -23.668 26.391 1267.55 3.52012 11 104 1 0 1 332.915 332.915 3464 
3.01021 2.53169 -7.9 6.23301 2.31663 130.861 3.52023 11 105 1 0 1 299.052 299.052 3293 
-4.54818 -1.25551 -7.9 4.18844 9.7506 264.432 3.52014 11 106 1 0 1 181.642 181.642 2038 
7.15574 -3.04029 -7.9 -9.0447 -2.68855 68.0442 3.5203 11 107 1 0 1 264.111 264.111 2323 
-1.95561 9.55572 -7.9 -5.1436 5.43783 266.643 3.52012 11 108 1 0 1 302.964 302.964 3199 
-0.723224 -3.44295 -7.9 6.91132 2.57722 112.427 3.52011 11 109 1 0 1 92.9753 92.9753 1128 
9.85568 -0.918309 -7.9 -22.4646 25.264 1998.74 3.52011 11 110 1 0 1 194.756 194.756 2084 
-9.2203 -6.04307 -7.9 -10.0756 0.976031 16.9255 3.52572 11 111 1 0 1 192.187 192.187 1793 
-2.04488 -0.355087 -7.9 22.3735 -11.0499 35.4544 3.52108 11 112 1 0 1 210.845 210.845 2154 
-5.53429 2.39651 -7.9 0.0853006 -0.151821 0.211848 3.57809 22 113 1147 1146 1 248.864 248.864 2574 
7.53571 2.62839 -7.9 11.557 0.168652 378.764 3.52011 11 114 1 0 1 98.5182 98.5182 1069 
3.21256 -0.91232 -7.9 10.5226 -8.58253 1102.85 3.52011 11 115 1 0 1 272.217 272.217 2804 
-9.80624 1.86788 -7.9 -2.86104 3.23329 346.16 3.52011 11 116 1 0 1 312.537 312.537 3349 
-7.17104 -7.60106 -7.9 -7.59777 -7.41049 414.235 3.52011 11 117 1 0 1 76.2194 76.2194 984 
4.35723 1.47176 -7.9 -14.166 -0.0822308 198.959 3.52012 11 118 1 0 1 351.605 351.605 3552 
3.55114 -3.97511 -7.9 5.00834 -18.111 3561.87 3.5201 11 119 1 0 1 231.719 231.719 2215 
4.27462 -6.07803 -7.9 3.1955 2.11047 558.813 3.52011 11 120 1 0 1 149.722 149.722 1444 
-4.99107 -7.7281 -7.9 5.04355 10.6608 2647.16 3.5201 11 121 1 0 1 225.644 225.644 2429 
3.93289 1.71182 -7.9 -3.67232 -10.6753 6566.33 3.5201 11 122 1 0 1 62.3614 62.3614 844 
20.5274 1.31636 -7.9 0.230117 0.055122 0.426875 3.52834 22 123 1142 1 1 344.397 344.397 3139 
-11.5494 -3.91798 -7.9 13.8061 -25.4527 5482.99 3.5201 11 124 1 0 1 192.7 192.7 2151 
-0.323478 2.19997 -7.9 -11.9835 -20.1861 3354.38 3.5201 11 125 1 0 1 174.111 174.111 1852 
7.94788 1.12712 -7.9 29.0626 -3.62032 2916.72 3.5201 11 126 1 0 1 296.997 296.997 3080 
-4.38173 0.179916 -7.9 8.90107 1.3873 20.6618 3.52016 11 127 1 0 1 274.794 274.794 2933 
-12.635 -2.52534 -7.9 6.5714 0.766376 812.869 3.5201 11 128 1 0 1 343.516 343.516 4024 
1.21587 0.271253 -7.9 15.684 2.14328 183.638 3.52016 11 129 1 0 1 267.627 267.627 3151 
-1.21668 -5.41288 -7.9 -20.1656 -38.4742 3902.44 3.5201 11 130 1 0 1 59.5644 59.5644 1071 
-0.942018 0.631573 -7.9 1.39488 1.48611 -0.946939 3.52127 11 131 1 0 1 59.2391 59.2391 715 
-17.9352 4.15457 -7.9 -0.280312 0.151733 0.349346 3.57021 22 132 1001 1 1 184.916 184.916 2048 
3.60196 -0.397567 -7.9 0.47744 -2.01966 14.7895 3.52104 22 133 1140 1043 1 159.364 159.364 1592 
-1.24414 2.71222 -7.9 2.08563 -3.06826 334.798 3.52011 11 134 1 0 1 251.237 251.237 2879 
1.54988 3.1819 -7.9 -11.9837 5.81018 207.76 3.52013 11 135 1 0 1 192.398 192.398 1835 
-6.47837 -6.43724 -7.9 8.52636 6.85659 189.729 3.52012 11 136 1 0 1 122.844 122.844 1176 
-0.608841 6.91405 -7.9 -7.18905 -3.9817 2588.01 3.5201 11 137 1 0 1 194.951 194.951 2003 
-0.807717 -2.42256 -7.9 -9.21321 9.57522 261.408 3.52013 11 138 1 0 1 301.858 301.858 2828 
5.06569 8.3307 -7.9 3.81026 9.07379 42.4805 3.52073 11 139 1 0 1 191.786 191.786 1862 
-4.12779 -4.35859 -7.9 -2.88603 18.2655 2453.56 3.5201 11 140 1 0 1 328.155 328.155 3657 
-7.40244 0.0275564 -7.9 5.72081 -13.3192 428.434 3.52011 11 141 1 0 1 222.215 222.215 1869 
-5.05108 5.03571 -7.9 16.7013 3.4396 501.658 3.52013 11 142 1 0 1 329.24 329.24 3611 
-6.66922 -2.62993 -7.9 -9.6947 14.773 739.704 3.52011 11 143 1 0 1 112.369 112.369 1339 
15.3734 -2.62833 -7.9 21.056 20.6241 1777.6 3.52011 11 144 1 0 1 499.125 499.125 5163 
-0.744178 7.9058 -7.9 3.58937 -4.78797 96.0234 3.52012 11 145 1 0 1 219.91 219.91 2162 
-3.31738 -0.323483 -7.9 -2.81822 -29.5821 2018.63 3.52011 11 146 1 0 1 309.384 309.384 3168 
-7.05989 -4.8776 -7.9 13.2295 -1.82998 361.249 3.52014 11 147 1 0 1 390.847 390.847 3915 
-3.4418 -12.2806 -7.9 2.19508 -7.65608 235.228 3.52015 11 148 1 0 1 157.676 157.676 1952 
-3.35464 1.45504 -7.9 -3.68259 -11.1385 30.44 3.52045 11 149 1 0 1 228.188 228.188 2134 
1.05334 -2.63578 -7.9 8.03874 -0.769947 627.48 3.52012 11 150 1 0 1 79.8933 79.8933 1008 
7.05941 2.49338 -7.9 -5.02931 -4.51484 322.741 3.52011 11 151 1 0 1 432.689 432.689 4259 
-0.944724 -2.80455 -7.9 0.0782224 -16.2557 167.653 3.52015 11 152 1 0 1 287.175 287.175 2923 
-0.235214 -5.69828 -7.9 -5.55471 -3.14947 74.2208 3.52011 11 153 1 0 1 255.781 255.781 2498 
-3.44495 8.00202 -7.9 -2.9699 2.49366 394.678 3.52011 11 154 1 0 1 253.796 253.796 2544 
0.112388 -0.684693 -7.9 -3.79023 -23.9648 345.694 3.52015 11 155 1 0 1 307.708 307.708 3372 
-0.356838 5.6164 -7.9 -13.574 -17.2065 3757.4 3.5201 11 156 1 0 1 185.363 185.363 2308 
5.30982 0.452774 -7.9 5.22891 0.87234 215.902 3.52011 11 157 1 0 1 247.192 247.192 2637 
10.6083 8.81933 -7.9 31.7736 8.81837 4393.95 3.5201 11 158 1 0 1 274.554 274.554 3340 
-1.27551 -7.39573 -7.9 0.560105 -1.14964 4.37001 3.52227 22 159 1152 1 1 236.13 236.13 3140 
-1.95407 -3.20457 -7.9 -17.8321 18.7558 419.577 3.52012 11 160 1 0 1 206.888 206.888 2337 
-1.59814 5.16718 -7.9 1.54377 6.37509 580.031 3.52011 11 161 1 0 1 129.869 129.869 1412 
-5.12295 -12.071 -7.9 1.76315 -0.397775 202.644 3.5201 11 162 1 0 1 337.997 337.997 3374 
-3.23458 -4.26358 -7.9 -7.32688 -10.2207 340.957 3.5202 11 163 1 0 1 199.295 199.295 1806 
-9.07662 1.37177 -7.9 17.8688 -3.76844 1283.93 3.5201 11 164 1 0 1 176.054 176.054 1794 
11.1406 -12.9976 -7.9 0.0240673 -0.219909 0.819643 3.53176 22 165 1053 1 1 228.752 228.752 3272 
12.7976 -12.2283 -7.9 0.899403 -1.39654 343 3.52011 11 166 1 0 1 81.394 81.394 1200 
-1.89436 -7.23255 -7.9 -4.11613 -3.36769 12.4355 3.52503 11 167 1 0 1 281.084 281.084 2415 
-7.6276 -5.55366 -7.9 0.0417353 -1.14034 2.15523 3.5433 22 168 1011 1 1 248.029 248.029 2859 
2.39791 -4.83958 -7.9 7.17155 10.6086 2787.72 3.5201 11 169 1 0 1 152.832 152.832 1733 
-1.39448 -0.635292 -7.9 -12.1803 -5.78236 220.692 3.5202 11 170 1 0 1 418.943 418.943 4473 
4.43366 -6.50517 -7.9 -2.14739 -3.70807 1308.91 3.5201 11 171 1 0 1 320.712 320.712 3081 
-9.65244 2.48944 -7.9 -0.943786 -0.0844517 2.06247 3.52331 11 172 1 0 1 324.298 324.298 3181 
-1.48712 -4.35226 -7.9 -7.64296 0.0221575 62.731 3.52033 11 173 1 0 1 217.344 217.344 2266 
11.8739 -3.11964 -7.9 -36.7879 -21.2477 327.092 3.52017 11 174 1 0 1 300.872 300.872 2927 
-7.12123 0.852345 -7.9 -4.68143 10.0968 99.3121 3.52027 11 175 1 0 1 208.291 208.291 2337 
2.61888 -7.47 -7.9 9.54386 -14.933 391.161 3.52012 11 176 1 0 1 182.443 182.443 2332 
-4.55571 -3.22933 -7.9 -3.49048 17.3901 495.019 3.52011 11 177 1 0 1 204.163 204.163 2076 
11.5374 -1.24127 -7.9 -0.806158 1.94152 26.4889 3.52022 11 178 1 0 1 196.783 196.783 1856 
-2.27122 1.27926 -7.9 13.1351 17.0132 175.683 3.52039 11 179 1 0 1 92.1347 92.1347 997 
4.49606 -0.789836 -7.9 -6.77219 -4.20195 62.5365 3.52017 11 180 1 0 1 480.426 480.426 4980 
-11.8205 49.1189 -7.9 0.125946 0.363968 0.335835 3.67476 22 181 1004 1002 1 189.623 189.623 1895 
4.16991 -9.41927 -7.9 -10.1116 -2.38407 489.693 3.52011 11 182 1 0 1 249.775 249.775 2525 
0.571051 3.25499 -7.9 12.6461 -14.2593 5356.02 3.5201 11 183 1 0 1 133.39 133.39 1198 
4.01898 -2.3377 -7.9 11.1178 -6.32962 52.2334 3.52168 11 184 1 0 1 304.491 304.491 3352 
0.0175987 -0.492734 -7.9 -25.2688 -1.96942 585.056 3.52016 11 185 1 0 1 272.551 272.551 3163 
5.05172 8.3418 -7.9 -2.2564 -4.5998 835.66 3.5201 11 186 1 0 1 382.875 382.875 3744 
5.57978 -11.5755 -7.9 -11.6953 2.48818 24.8026 3.52072 11 187 1 0 1 363.868 363.868 4024 
-3.8073 5.74968 -7.9 -15.9479 -10.7406 144.083 3.5204 11 188 1 0 1 142.07 142.07 1518 
-5.26319 -6.15782 -7.9 0.340469 6.28949 10.4112 3.53131 11 189 1 0 1 339.095 339.095 3586 
5.87942 -3.08404 -7.9 7.90769 -0.212396 2940.58 3.5201 11 190 1 0 1 146.804 146.804 1437 
9.06457 -2.48691 -7.9 -12.4761 3.04117 1722.05 3.5201 11 191 1 0 1 121.056 121.056 1422 
-3.36443 -4.75458 -7.9 6.48699 -18.4495 125.511 3.52042 11 192 1 0 1 239.255 239.255 2170 
0.949611 0.990359 -7.9 -0.68573 18.2306 983.055 3.5201 11 193 1 0 1 167.46 167.46 1994 
63.3183 -19.4674 -7.9 0.0728435 -0.141544 0.224264 3.68431 22 194 1053 1 1 275.257 275.257 2808 
7.61469 -4.07998 -7.9 12.4827 0.520816 62.1596 3.52292 22 195 1139 1 1 425.304 425.304 4525 
9.32092 10.3138 -7.9 9.20394 9.93456 217.826 3.52034 11 196 1 0 1 95.0363 95.0363 890 
3.04252 11.1698 -7.9 -14.1731 27.8836 152.689 3.52085 11 197 1 0 1 152.477 152.477 1330 
5.53218 4.96434 -7.9 26.6852 -2.32752 33.3035 3.52408 11 198 1 0 1 371.61 371.61 3826 
1.43539 -8.77301 -7.9 15.7663 1.15263 704.823 3.52011 11 199 1 0 1 150.021 150.021 1664 
5.07147 -4.1397 -7.9 14.1286 -14.8582 6648.86 3.5201 11 200 1 0 1 51.0588 51.0588 640 
6.54113 -1.83626 -7.9 1.78535 15.1586 246.844 3.5201 11 201 1 0 1 272.051 272.051 2848 
0.197108 2.52737 -7.9 -0.913417 -1.96908 594.001 3.52011 11 202 1 0 1 90.9534 90.9534 929 
-11.2557 -0.766066 -7.9 9.52479 15.0491 1349.76 3.5201 11 203 1 0 1 89.6805 89.6805 1087 
