# Det11
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Edep VisibleEdep Ntracks
-1.10242 9.72832 -7.9 -0.200219 0.315223 0.255934 3.8865 22 1 1051 1 1 590.363 590.363 6102 
-15.9351 25.4145 -7.9 0.0294616 1.01939 1.48963 3.88057 22 2 1095 1 1 546.752 546.752 6242 
-55.4586 -13.2207 -7.9 -2.60171 -0.792256 2.58728 3.92456 22 3 1108 1 1 604.857 604.857 6359 
9.87305 0.816922 -7.9 -1.56024 -2.05999 232.562 3.83641 11 4 1 0 1 775.744 775.744 8391 
1.03426 -3.37175 -7.9 2.51376 -7.43292 19.1978 3.83824 11 5 1 0 1 542.39 542.39 5800 
5.14515 8.56255 -7.9 16.628 -4.75317 80.5575 3.83799 11 6 1 0 1 685.539 685.539 7811 
-4.87015 6.76971 -7.9 -1.50099 -3.26156 26.4896 3.83852 22 7 1028 1 1 597.408 597.408 5876 
8.33312 1.98317 -7.9 -0.758493 1.42106 28.635 3.83681 22 8 1430 1 1 395.933 395.933 4513 
10.7596 5.50879 -7.9 19.9914 8.15989 35.6107 3.84786 22 9 1002 1 1 201.508 201.508 2192 
4.77062 -2.67365 -7.9 9.48587 -17.8288 72.2362 3.83718 11 10 1 0 1 588.373 588.373 6863 
-9.1596 -45.6295 -7.9 -0.406138 -1.51778 2.904 3.88762 22 11 1340 1338 1 670.851 670.851 6948 
18.449 28.4575 -7.9 4.55415 5.73524 30.6232 3.8487 22 12 1448 1 1 650.913 650.913 6171 
4.34954 0.747763 -7.9 -0.27111 -0.168848 6.53837 3.83688 22 13 1415 1 1 569.538 569.538 5897 
22.099 35.2329 -7.9 1.21332 2.46247 10.3565 3.84924 22 14 1230 1 1 429.208 429.208 4575 
2.55329 -14.7052 -7.9 20.7912 -4.70546 409.507 3.83663 11 15 1 0 1 685.79 685.79 7286 
38.2534 88.6306 -7.9 0.253156 0.718876 0.965371 3.93158 22 16 1361 1 1 552.976 552.976 6245 
0.445628 -13.506 -7.9 11.3291 -13.7225 255.155 3.83665 22 17 1090 1 1 630.069 630.069 6553 
-1.73474 13.6203 -7.9 2.14453 2.04095 26.0769 3.83813 11 18 1 0 1 623.579 623.579 6304 
-2.05039 -14.0449 -7.9 -4.01929 -11.3985 146.522 3.83806 11 19 1 0 1 527.649 527.649 5393 
-6.33114 6.54574 -7.9 -0.219366 0.0411506 0.459679 3.86158 22 20 1091 1088 1 639.666 639.666 6855 
-43.1739 -11.9612 -7.9 -3.90607 -1.61774 8.409 3.87313 22 21 1264 1252 1 718.243 718.243 6644 
7.95112 -55.0528 -7.9 0.156664 -1.21524 0.857747 3.95322 22 22 1113 1057 1 486.295 486.295 5024 
-56.9929 -8.63227 -7.9 -0.641202 -0.0978548 0.508169 3.93411 22 23 1110 1 1 706.46 706.46 7866 
-23.9742 -47.2747 -7.9 -0.0605951 -0.29874 0.496176 4.01084 22 24 1048 1047 1 528.426 528.426 5914 
-12.0846 67.2299 -7.9 -0.05508 1.58594 2.37847 3.89591 22 25 1403 1 1 690.741 690.741 7797 
6.96023 -8.81883 -7.9 2.98131 -7.04292 25.4375 3.83913 11 26 1 0 1 641.132 641.132 6319 
-3.29435 7.97041 -7.9 8.35608 12.2145 44.4862 3.83835 11 27 1 0 1 535.259 535.259 5590 
42.1128 33.9502 -7.9 0.467953 0.535422 0.905924 3.92824 22 28 1017 1 1 764.885 764.885 7560 
26.7109 -5.27677 -7.9 0.0646291 0.245557 0.32317 3.8521 22 29 1257 1235 1 485.133 485.133 4887 
-3.86338 -15.1468 -7.9 0.378886 0.0794847 1.35235 3.84408 22 30 1346 1304 1 318.617 318.617 3239 
6.29495 4.91974 -7.9 11.2043 5.14165 33.4804 3.83798 11 31 1 0 1 676.09 676.09 6474 
7.0005 -9.09611 -7.9 0.189104 -0.188208 1.09839 3.84333 22 32 1191 1 1 617.69 617.69 6557 
43.5566 -78.4432 -7.9 0.923166 -1.60674 1.23694 3.99896 22 33 1042 1 1 440.553 440.553 4538 
34.5339 25.7549 -7.9 0.381256 0.250297 0.987888 3.85994 22 34 1059 1 1 595.735 595.735 6423 
-6.54883 -23.6021 -7.9 -0.678593 -1.76 3.48751 3.84555 22 35 1075 1 1 637.682 637.682 7145 
1.78683 1.26295 -7.9 5.2472 2.75568 68.9647 3.83691 22 36 1144 1 1 719.152 719.152 7814 
-5.48098 -2.78659 -7.9 7.0338 -0.167665 423.052 3.83637 22 37 1216 1 1 517.759 517.759 6110 
1.42257 6.27507 -7.9 0.148072 0.0834215 0.641467 3.84939 22 38 1029 1 1 497.972 497.972 5407 
-3.762 -6.53204 -7.9 1.63078 1.10167 2.67421 3.83404 11 39 1 0 1 620.017 620.017 6183 
61.7971 0.71407 -7.9 0.2308 0.108014 0.330155 4.05366 22 40 1023 1002 1 623.061 623.061 6324 
-1.15903 -15.1413 -7.9 -0.521375 -0.635624 6.62693 3.83957 22 41 1134 1 1 429.669 429.669 4398 
-5.77631 -2.60829 -7.9 -1.25992 -0.843181 15.5843 3.83777 22 42 1001 1 1 606.184 606.184 7003 
16.1394 20.5685 -7.9 0.139348 12.6421 19.9353 3.84423 -11 43 1509 1508 1 349.803 349.803 3175 
-36.0256 -9.87817 -7.9 -0.526233 -0.0860398 0.127164 4.37809 22 44 1179 1178 1 406.683 406.683 4660 
4.99664 33.7656 -7.9 -0.114642 0.361935 0.342024 3.92082 22 45 1016 1015 1 615.43 615.43 7464 
10.265 11.5728 -7.9 -1.22336 0.489486 21.4361 3.83851 11 46 1 0 1 632.355 632.355 7482 
-6.92023 -5.86124 -7.9 -0.81186 -0.364646 1.12881 3.85054 22 47 1063 1 1 673.253 673.253 6150 
-38.0934 -15.288 -7.9 -0.286385 -0.0989359 0.411479 3.96372 22 48 1052 1051 1 669.999 669.999 7194 
5.18617 -32.9514 -7.9 0.101296 -0.193168 0.386148 3.86285 22 49 1150 1 1 544.661 544.661 5207 
-4.02777 -25.9711 -7.9 -2.07182 -3.04483 5.93313 3.88205 22 50 1023 1 1 715.622 715.622 7929 
5.86126 0.355539 -7.9 4.94601 0.512798 70.468 3.83776 -11 51 1002 1001 1 472.27 472.27 4567 
-44.5287 17.398 -7.9 -0.410467 -0.0823752 0.463176 3.89323 22 52 1041 1013 1 468.789 468.789 4636 
-7.21965 -5.10404 -7.9 1.6636 -10.6432 613.347 3.83637 11 53 1 0 1 592.514 592.514 6537 
-9.80114 -53.1085 -7.9 -0.161698 -2.57691 2.17372 3.92451 22 54 1001 1 1 559.119 559.119 5631 
-7.62741 -2.12321 -7.9 -3.27738 2.00353 9.80523 3.84852 22 55 1246 1 1 504.655 504.655 5353 
7.02909 9.94098 -7.9 4.30451 14.0946 19.7771 3.8473 11 56 1 0 1 486.778 486.778 5285 
10.901 8.54216 -7.9 -12.164 -6.2803 111.087 3.8366 11 57 1 0 1 582.494 582.494 5544 
1.79359 -12.5559 -7.9 -5.21906 -4.58961 520.404 3.83639 11 58 1 0 1 500.836 500.836 4881 
-50.9327 45.4319 -7.9 -0.552971 0.403709 0.412368 3.96304 22 59 1042 1 1 747.638 747.638 7671 
-8.81991 -11.4335 -7.9 -0.162938 -0.302126 0.378538 3.88434 22 60 1106 1063 1 468.365 468.365 4415 
-1.71509 23.2074 -7.9 -0.647167 3.75864 15.211 3.84886 22 61 1031 1 1 666.228 666.228 7253 
1.05054 -14.5068 -7.9 4.24069 -2.03403 15.6527 3.83848 11 62 1 0 1 585.991 585.991 5479 
-50.5951 -22.8241 -7.9 -0.643431 -0.530922 0.310325 3.96911 22 63 1077 1051 1 489.876 489.876 5797 
-6.67687 -8.08857 -7.9 -8.01009 3.91237 12.4598 3.84031 11 64 1 0 1 367.365 367.365 3588 
5.80579 3.86833 -7.9 -1.86757 1.21954 40.3954 3.83694 -11 65 1002 1001 1 607.455 607.455 6553 
12.0026 5.08516 -7.9 6.26367 5.57703 52.4272 3.83773 11 66 1 0 1 390.648 390.648 4986 
19.4279 39.031 -7.9 -0.105596 0.163169 0.374567 3.88546 22 67 1328 1252 1 429.52 429.52 4528 
