# Det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Edep VisibleEdep Ntracks
-6.25259 -0.106927 -7.9 -1.83838 -0.430078 10000.5 3.30929 11 1 1 0 1 18.2589 18.2589 72 
-0.504407 6.08517 -7.9 -0.378364 0.764798 10000.5 3.30929 11 2 1 0 1 7.51341 7.51341 46 
4.31385 -1.44605 -7.9 -0.800027 1.28164 10000.5 3.30929 11 3 1 0 1 6.43598 6.43598 24 
9.62062 2.48846 -7.9 0.443134 1.7398 10000.5 3.30929 11 4 1 0 1 14.9649 14.9649 116 
-4.64866 -2.13618 -7.9 2.73757 -0.887004 10000.5 3.30929 11 5 1 0 1 5.86538 5.86538 34 
5.59694 14.0129 -7.9 -0.508425 -0.14073 10000.5 3.30929 11 6 1 0 1 7.45189 7.45189 48 
0.503474 14.3088 -7.9 0.276668 3.30248 10000.5 3.30929 11 7 1 0 1 19.1119 19.1119 77 
11.0442 -2.64053 -7.9 1.83729 1.64352 10000.5 3.30929 11 8 1 0 1 7.02398 7.02398 19 
-3.8884 -1.53624 -7.9 -0.275122 -0.262711 10000.5 3.30929 11 9 1 0 1 14.0881 14.0881 95 
5.16177 -2.62818 -7.9 1.16285 0.557275 10000.5 3.30929 11 10 1 0 1 5.64084 5.64084 14 
6.58195 10.6916 -7.9 1.30199 -1.71052 10000.5 3.30929 11 11 1 0 1 17.7685 17.7685 60 
-2.36347 4.28087 -7.9 1.54962 0.0123401 10000.5 3.30929 11 12 1 0 1 6.64113 6.64113 34 
10.1107 4.35908 -7.9 -0.271702 0.462016 10000.5 3.30929 11 13 1 0 1 6.56343 6.56343 12 
8.95108 8.17304 -7.9 0.213162 1.58276 10000.5 3.30929 11 14 1 0 1 7.18473 7.18473 58 
-0.433554 -13.3558 -7.9 -0.431949 0.949105 10000.5 3.30929 11 15 1 0 1 8.58806 8.58806 44 
4.18513 5.65525 -7.9 -0.305254 -1.25595 10000.5 3.30929 11 16 1 0 1 10.1166 10.1166 98 
-2.39857 -10.9491 -7.9 1.64856 -0.230833 10000.5 3.30929 11 17 1 0 1 5.88341 5.88341 8 
-0.157719 9.94552 -7.9 0.225959 -1.13194 10000.5 3.30929 11 18 1 0 1 5.595 5.595 10 
3.88208 -9.01703 -7.9 -0.605359 -0.912573 10000.5 3.30929 11 19 1 0 1 9.25927 9.25927 30 
-5.25296 5.90688 -7.9 -0.469492 0.511011 10000.5 3.30929 11 20 1 0 1 18.2733 18.2733 135 
4.31834 -3.98854 -7.9 0.181764 -0.401715 10000.5 3.30929 11 21 1 0 1 9.20661 9.20661 76 
-3.83928 12.7688 -7.9 -0.419417 1.25156 10000.5 3.30929 11 22 1 0 1 17.1328 17.1328 52 
7.01331 2.74896 -7.9 2.19534 0.401954 10000.5 3.30929 11 23 1 0 1 8.68733 8.68733 12 
-2.11151 4.26675 -7.9 0.66693 1.33785 10000.5 3.30929 11 24 1 0 1 21.4694 21.4694 153 
-8.1667 2.01224 -7.9 -1.26123 0.17215 10000.5 3.30929 11 25 1 0 1 6.32723 6.32723 17 
5.55628 -4.64406 -7.9 -1.21268 -1.31046 10000.5 3.30929 11 26 1 0 1 5.78982 5.78982 16 
-4.62041 3.09549 -7.9 1.43487 -1.74454 10000.5 3.30929 11 27 1 0 1 8.16873 8.16873 48 
1.03278 -5.20248 -7.9 0.456264 -1.08112 10000.5 3.30929 11 28 1 0 1 15.0522 15.0522 89 
3.51956 -2.19216 -7.9 1.76923 0.69622 10000.5 3.30929 11 29 1 0 1 7.24549 7.24549 56 
-1.91626 -11.9948 -7.9 1.01359 0.112589 10000.5 3.30929 11 30 1 0 1 10.781 10.781 28 
4.23226 8.72845 -7.9 -2.97547 -0.123702 10000.5 3.30929 11 31 1 0 1 9.08504 9.08504 39 
-3.57729 4.29991 -7.9 -1.82219 0.0799747 10000.5 3.30929 11 32 1 0 1 54.7623 54.7623 400 
0.167938 2.60509 -7.9 1.13161 -0.788571 10000.5 3.30929 11 33 1 0 1 16.6716 16.6716 51 
7.69866 8.52563 -7.9 -0.230541 -1.57143 10000.5 3.30929 11 34 1 0 1 16.8989 16.8989 86 
-4.30701 -9.69087 -7.9 -0.371942 -0.774352 10000.5 3.30929 11 35 1 0 1 10.314 10.314 24 
-1.90364 -0.0558415 -7.9 -0.44722 -1.18386 10000.5 3.30929 11 36 1 0 1 7.50499 7.50499 22 
-7.26669 -2.51477 -7.9 0.0819124 -0.289963 10000.5 3.30929 11 37 1 0 1 15.6117 15.6117 143 
0.335102 -0.0470969 -7.9 0.763603 -1.32532 10000.5 3.30929 11 38 1 0 1 8.89178 8.89178 18 
-0.00905807 -7.11111 -7.9 -0.793162 -0.758703 10000.5 3.30929 11 39 1 0 1 5.52071 5.52071 24 
-6.93684 2.65992 -7.9 0.425465 0.500066 10000.5 3.30929 11 40 1 0 1 10.758 10.758 33 
8.89781 -3.50142 -7.9 -0.693582 0.228411 10000.5 3.30929 11 41 1 0 1 11.2105 11.2105 17 
2.23342 2.22607 -7.9 1.34645 0.871617 10000.5 3.30929 11 42 1 0 1 6.06267 6.06267 15 
13.5659 8.03474 -7.9 0.687897 -0.146811 10000.5 3.30929 11 43 1 0 1 17.6761 17.6761 61 
-7.66886 3.28304 -7.9 0.659779 -2.49211 10000.5 3.30929 11 44 1 0 1 7.72648 7.72648 21 
0.905829 -3.82822 -7.9 -0.246655 -0.0784341 10000.5 3.30929 11 45 1 0 1 11.6402 11.6402 50 
13.6835 5.66341 -7.9 1.56982 -0.0185014 10000.5 3.30929 11 46 1 0 1 5.59511 5.59511 19 
5.39475 -1.78756 -7.9 -0.224248 1.29787 10000.5 3.30929 11 47 1 0 1 22.196 22.196 123 
2.19793 -1.4545 -7.9 0.500382 1.29251 10000.5 3.30929 11 48 1 0 1 7.39935 7.39935 14 
-8.17936 -5.28401 -7.9 0.637376 -0.0329683 10000.5 3.30929 11 49 1 0 1 5.64741 5.64741 7 
15.3364 -0.347959 -7.9 1.52453 0.512455 10000.5 3.30929 11 50 1 0 1 13.169 13.169 102 
-0.216744 0.612305 -7.9 0.0279921 0.528414 10000.5 3.30929 11 51 1 0 1 6.74623 6.74623 11 
-3.59001 10.5454 -7.9 -1.55055 -0.0152565 10000.5 3.30929 11 52 1 0 1 5.56174 5.56174 12 
-7.28465 -3.72191 -7.9 -0.0331459 0.487271 10000.5 3.30929 11 53 1 0 1 5.76327 5.76327 8 
4.59334 -2.6918 -7.9 -1.06253 -0.557726 10000.5 3.30929 11 54 1 0 1 9.80278 9.80278 16 
7.27625 -4.66664 -7.9 0.947465 -2.65105 10000.5 3.30929 11 55 1 0 1 7.94475 7.94475 17 
1.38811 5.92764 -7.9 -2.02953 0.362363 10000.5 3.30929 11 56 1 0 1 7.13912 7.13912 16 
11.7202 8.3917 -7.9 2.49373 -1.11846 10000.5 3.30929 11 57 1 0 1 6.27957 6.27957 9 
3.02559 -13.5768 -7.9 -1.15517 -1.12306 10000.5 3.30929 11 58 1 0 1 7.72989 7.72989 37 
3.77689 -0.735802 -7.9 2.48791 -0.33507 10000.5 3.30929 11 59 1 0 1 7.05628 7.05628 18 
-11.2783 6.91322 -7.9 0.152256 1.43919 10000.5 3.30929 11 60 1 0 1 7.91883 7.91883 44 
-0.56024 -5.50275 -7.9 -0.115663 0.0995223 10000.5 3.30929 11 61 1 0 1 5.93699 5.93699 11 
5.61724 -11.2793 -7.9 -0.622725 -1.01202 10000.5 3.30929 11 62 1 0 1 11.1138 11.1138 78 
3.8441 -2.50482 -7.9 1.39175 -1.28274 10000.5 3.30929 11 63 1 0 1 8.23374 8.23374 46 
4.33837 -6.50831 -7.9 0.797317 0.434047 10000.5 3.30929 11 64 1 0 1 7.04885 7.04885 27 
5.67881 -0.47269 -7.9 0.272682 -0.555436 10000.5 3.30929 11 65 1 0 1 7.28914 7.28914 45 
6.33879 1.23781 -7.9 -0.377342 -0.434235 10000.5 3.30929 11 66 1 0 1 5.51795 5.51795 17 
-1.62424 -1.26984 -7.9 1.18578 -1.30564 10000.5 3.30929 11 67 1 0 1 10.7739 10.7739 19 
3.47295 0.418907 -7.9 0.606539 1.96695 10000.5 3.30929 11 68 1 0 1 5.76714 5.76714 12 
10.7724 4.85274 -7.9 0.630766 2.3875 10000.5 3.30929 11 69 1 0 1 8.01495 8.01495 25 
0.536803 1.95135 -7.9 1.06169 -0.260456 10000.5 3.30929 11 70 1 0 1 16.715 16.715 128 
4.65456 13.3399 -7.9 -0.313701 -2.49594 10000.5 3.30929 11 71 1 0 1 7.89836 7.89836 32 
-1.214 1.84719 -7.9 1.33875 1.26521 10000.5 3.30929 11 72 1 0 1 9.21299 9.21299 37 
2.18472 1.61384 -7.9 0.118899 -0.0277223 10000.5 3.30929 11 73 1 0 1 6.62644 6.62644 60 
-2.76309 3.57924 -7.9 -0.715569 -0.980105 10000.5 3.30929 11 74 1 0 1 6.809 6.809 60 
2.34581 2.35277 -7.9 -0.0276388 -0.496135 10000.5 3.30929 11 75 1 0 1 12.0928 12.0928 20 
2.78944 0.732208 -7.9 0.595854 -1.69877 10000.5 3.30929 11 76 1 0 1 6.05991 6.05991 12 
-3.32387 7.82345 -7.9 0.390761 1.03583 10000.5 3.30929 11 77 1 0 1 7.0631 7.0631 13 
0.227038 -4.10935 -7.9 0.377514 1.00709 10000.5 3.30929 11 78 1 0 1 11.4971 11.4971 64 
-10.3681 -0.0976184 -7.9 1.04619 0.221871 10000.5 3.30929 11 79 1 0 1 6.88086 6.88086 27 
7.75041 -0.753366 -7.9 0.671467 1.70841 10000.5 3.30929 11 80 1 0 1 5.82536 5.82536 21 
