# Det96
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Edep VisibleEdep Ntracks
29.5038 -9.18345 78.2232 0.344356 -0.219458 0.307209 3.67337 22 1 1217 1216 1 2.96025 2.96025 501 
-28.7184 11.4046 23.517 -1.5865 -0.43283 0.848093 3.48762 22 2 1070 1 1 2.2933 2.2933 373 
-27.8379 13.4112 56.6981 -2.98522 1.07383 3.46481 3.59759 22 3 1086 1 1 2.16869 2.16869 473 
-25.6342 -17.2539 7.70623 -0.605006 -0.360836 0.104508 3.49443 22 4 1001 1 1 5.14792 5.14792 590 
-19.9235 23.6192 57.5011 -0.37813 0.430628 0.852631 3.55801 22 5 1002 1 1 0.805443 0.805443 331 
27.7849 13.5208 7.72672 0.248935 -0.0321104 0.0466622 3.50793 22 6 1105 1104 1 4.55295 4.55295 530 
30.8649 -1.47218 27.9659 0.320247 -0.137617 -0.373662 3.73992 22 7 1093 1092 1 2.59047 2.59047 344 
28.2402 -12.5419 60.2274 0.397773 -0.195437 -0.0455825 3.60323 22 8 1056 1 1 0.761788 0.761788 274 
-15.4763 -26.745 43.0432 -0.247685 -0.302499 -0.0382161 3.53399 22 9 1062 1 1 1.63101 1.63101 414 
-27.8879 -13.3071 51.8708 -0.47893 -0.180453 0.0375168 3.61993 22 10 1210 1209 1 1.75007 1.75007 385 
16.9873 25.8117 24.8333 0.556716 0.787892 1.93712 3.45857 22 11 1063 1062 1 0.341156 0.341156 190 
-29.605 -8.85194 -11.4341 -1.93414 -0.474337 -0.862521 3.38378 22 12 1100 1 1 0.737038 0.737038 393 
25.4163 17.5733 -12.001 1.21278 1.06532 2.77946 3.31354 22 13 1159 1 1 1.38373 1.38373 349 
26.3693 -16.108 33.2217 0.135036 -0.492719 -0.0106472 3.57075 22 14 1104 1103 1 3.65951 3.65951 439 
-10.5266 -29.0517 76.1987 -0.241743 -0.402044 0.146966 3.64586 22 15 1452 1451 1 3.72608 3.72608 434 
-29.9425 -7.63262 16.2917 -0.90544 -0.186218 1.09606 3.43935 22 16 1064 1 1 1.47414 1.47414 267 
-6.29067 -30.2529 15.9161 -0.115281 -0.000643932 -0.175462 3.48638 22 17 1021 1 1 1.88432 1.88432 342 
5.14766 -30.4682 75.4107 0.122314 -1.01305 1.26996 3.63308 22 18 1108 1068 1 1.56917 1.56917 344 
-7.55517 -29.9621 48.3425 -0.60599 -0.430064 -0.547758 3.59084 22 19 1045 1 1 4.60351 4.60351 639 
-12.7172 28.1617 70.8608 -0.607429 0.696545 0.344168 3.60074 22 20 1002 1 1 1.07159 1.07159 241 
-30.8213 2.20353 47.8741 -0.546412 0.0132972 0.0707138 3.5859 22 21 1065 1 1 1.3204 1.3204 420 
-22.9701 20.6684 26.5381 -4.62109 1.54658 5.84271 3.44695 22 22 1054 1 1 2.28629 2.28629 197 
-24.5285 18.7926 67.3795 -0.769326 0.604583 -0.162721 4.64122 22 23 1103 1029 1 0.397765 0.397765 300 
-19.7463 -23.7675 53.7645 -0.19653 -0.571854 0.010947 3.60768 22 24 1207 1 1 1.45308 1.45308 255 
6.90941 30.1176 42.9743 1.55368 1.54327 1.02178 3.57068 22 25 1001 1 1 3.07689 3.07689 604 
13.2406 27.9195 46.0205 0.183976 0.474866 -0.0421344 3.6127 22 26 1221 1220 1 0.849099 0.849099 162 
30.8899 -0.789137 66.3358 8.2794 -2.38264 -3.03358 3.62598 11 27 1 0 1 1.14499 1.14499 322 
5.14793 -30.4682 24.0019 0.19742 -0.469776 -0.416246 3.69251 22 28 1027 1 1 2.10289 2.10289 448 
3.34388 30.7185 33.7101 -0.0870386 0.398086 -0.308337 3.72396 22 29 1180 1179 1 6.36666 6.36666 862 
27.3467 14.3863 65.5749 0.323217 0.39546 -0.0161844 3.71464 22 30 1209 1208 1 1.39918 1.39918 389 
28.2409 12.5404 66.6665 1.10978 0.255737 0.859195 3.59087 22 31 1665 1496 1 3.74372 3.74372 544 
11.4054 28.7181 34.8448 0.190557 0.162467 -0.442506 3.65604 22 32 1001 1 1 0.648868 0.648868 273 
20.2515 23.3385 67.3132 0.447487 0.393451 0.287798 3.61543 22 33 1354 1032 1 0.80229 0.80229 127 
-30.7375 3.1652 50.5818 -0.235347 -0.000212991 -0.114563 3.6707 22 34 1295 1 1 0.570487 0.570487 299 
7.63864 -29.941 48.124 0.287673 -0.30081 -0.296441 3.64777 22 35 1098 1096 1 3.59785 3.59785 644 
29.8621 7.94123 59.6018 1.79436 0.289136 1.49962 3.58528 22 36 1021 1 1 1.22232 1.22232 268 
