# This file contains the peak energy deposition density for each cube in the detector array.
# Each line corresponds to one cube, with the following format: (x, y, z, peak energy deposition density)
# x, y, z: The coordinates of the cube in the detector array
# peak energy deposition density: The maximum energy deposition density in the cube, in units of J/g
# this is for a 100mm X 100mm X 200mm lXe Target. Each cube is 10mm X 10mm X 10mm
x	y	z	peak_energy_deposition_density
0.0	0.0	0.0	2.1246994315074435e-13
0.0	0.0	1.0	7.067108897549355e-14
0.0	0.0	2.0	2.115448974713276e-13
0.0	0.0	3.0	2.4564615014646506e-13
0.0	0.0	4.0	1.9378546829938903e-13
0.0	0.0	5.0	8.166836781082661e-13
0.0	0.0	6.0	4.974859239749579e-13
0.0	0.0	7.0	1.0212645891832557e-12
0.0	0.0	8.0	7.609630212463543e-13
0.0	0.0	9.0	1.6779194725206274e-12
0.0	0.0	10.0	1.840651359063718e-12
0.0	0.0	11.0	1.4729300112327428e-12
0.0	0.0	12.0	2.409476290263211e-12
0.0	0.0	13.0	3.857292780712243e-12
0.0	0.0	14.0	4.427947642484628e-12
0.0	0.0	15.0	3.420844084360694e-12
0.0	0.0	16.0	4.2453455096208e-12
0.0	0.0	17.0	3.5741882704004113e-12
0.0	0.0	18.0	3.717767394237863e-12
0.0	0.0	19.0	4.1330939145150685e-12
0.0	0.0	20.0	3.641280868836962e-12
0.0	1.0	0.0	1.7898392087747315e-13
0.0	1.0	1.0	2.042658878281562e-13
0.0	1.0	2.0	4.615596890274904e-13
0.0	1.0	3.0	6.655227318331646e-13
0.0	1.0	4.0	4.23224466759582e-13
0.0	1.0	5.0	7.707278358789635e-13
0.0	1.0	6.0	7.613327382893817e-13
0.0	1.0	7.0	1.873209342902302e-12
0.0	1.0	8.0	1.447153193066213e-12
0.0	1.0	9.0	1.852301495579222e-12
0.0	1.0	10.0	3.0942990974290703e-12
0.0	1.0	11.0	2.0161877902651938e-12
0.0	1.0	12.0	3.666537554709949e-12
0.0	1.0	13.0	3.1093448471160777e-12
0.0	1.0	14.0	3.498072647316861e-12
0.0	1.0	15.0	4.101433608053854e-12
0.0	1.0	16.0	5.278891611733769e-12
0.0	1.0	17.0	5.309832942488467e-12
0.0	1.0	18.0	7.080270711862911e-12
0.0	1.0	19.0	4.970359852479652e-12
0.0	1.0	20.0	5.4518794883968166e-12
0.0	2.0	0.0	1.2466251979742708e-13
0.0	2.0	1.0	3.20501600378003e-13
0.0	2.0	2.0	4.951559549426904e-13
0.0	2.0	3.0	9.187492446081198e-13
0.0	2.0	4.0	7.569102831683926e-13
0.0	2.0	5.0	7.574199701166743e-13
0.0	2.0	6.0	1.375458513425853e-12
0.0	2.0	7.0	1.1551664775514669e-12
0.0	2.0	8.0	1.365231559542726e-12
0.0	2.0	9.0	3.0303397987380044e-12
0.0	2.0	10.0	3.345397846388612e-12
0.0	2.0	11.0	3.699656470625438e-12
0.0	2.0	12.0	5.611519146908338e-12
0.0	2.0	13.0	5.439399084200427e-12
0.0	2.0	14.0	5.8393381310233226e-12
0.0	2.0	15.0	6.129142279383806e-12
0.0	2.0	16.0	7.72651566487845e-12
0.0	2.0	17.0	7.259519403144692e-12
0.0	2.0	18.0	8.932041471913241e-12
0.0	2.0	19.0	8.548359438493808e-12
0.0	2.0	20.0	8.1120518776812e-12
0.0	3.0	0.0	5.772810428165455e-13
0.0	3.0	1.0	4.956449606282106e-13
0.0	3.0	2.0	8.579601814494379e-13
0.0	3.0	3.0	5.87817573631068e-13
0.0	3.0	4.0	1.1311401021933787e-12
0.0	3.0	5.0	1.1633005758632147e-12
0.0	3.0	6.0	1.4396710808136528e-12
0.0	3.0	7.0	2.0305149870618876e-12
