# Det1
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Edep VisibleEdep Ntracks
-6.23952 -0.103869 -79 -1.83838 -0.430078 10000.5 3.07213 11 1 1 0 1 2684.84 2684.84 24143 
-0.501717 6.07973 -79 -0.378364 0.764798 10000.5 3.07213 11 2 1 0 1 3573.12 3573.12 32721 
4.31954 -1.45516 -79 -0.800027 1.28164 10000.5 3.07213 11 3 1 0 1 2493.46 2493.46 21306 
9.61747 2.47609 -79 0.443134 1.7398 10000.5 3.07213 11 4 1 0 1 2545.08 2545.08 22350 
-4.66812 -2.12987 -79 2.73757 -0.887004 10000.5 3.07213 11 5 1 0 1 2333.48 2333.48 20867 
5.60055 14.0139 -79 -0.508425 -0.14073 10000.5 3.07213 11 6 1 0 1 1904.85 1904.85 16373 
0.501507 14.2853 -79 0.276668 3.30248 10000.5 3.07213 11 7 1 0 1 1863.93 1863.93 16599 
11.0312 -2.65221 -79 1.83729 1.64352 10000.5 3.07213 11 8 1 0 1 1918.99 1918.99 16952 
-3.88644 -1.53438 -79 -0.275122 -0.262711 10000.5 3.07213 11 9 1 0 1 1880.78 1880.78 17100 
5.1535 -2.63214 -79 1.16285 0.557275 10000.5 3.07213 11 10 1 0 1 1820.51 1820.51 17008 
6.5727 10.7037 -79 1.30199 -1.71052 10000.5 3.07213 11 11 1 0 1 3322.39 3322.39 29765 
-2.37449 4.28078 -79 1.54962 0.0123401 10000.5 3.07213 11 12 1 0 1 2199.47 2199.47 18034 
10.1126 4.3558 -79 -0.271702 0.462016 10000.5 3.07213 11 13 1 0 1 3097.54 3097.54 25403 
8.94956 8.16179 -79 0.213162 1.58276 10000.5 3.07213 11 14 1 0 1 3528.59 3528.59 32120 
-0.430483 -13.3625 -79 -0.431949 0.949105 10000.5 3.07213 11 15 1 0 1 1992.5 1992.5 17934 
4.1873 5.66418 -79 -0.305254 -1.25595 10000.5 3.07213 11 16 1 0 1 1643.56 1643.56 14007 
-2.41029 -10.9474 -79 1.64856 -0.230833 10000.5 3.07213 11 17 1 0 1 2841.61 2841.61 25055 
-0.159326 9.95357 -79 0.225959 -1.13194 10000.5 3.07213 11 18 1 0 1 4083.31 4083.31 37702 
3.88638 -9.01054 -79 -0.605359 -0.912573 10000.5 3.07213 11 19 1 0 1 3016.26 3016.26 26007 
-5.24962 5.90325 -79 -0.469492 0.511011 10000.5 3.07213 11 20 1 0 1 1738.6 1738.6 14951 
4.31705 -3.98569 -79 0.181764 -0.401715 10000.5 3.07213 11 21 1 0 1 2684.38 2684.38 24246 
-3.8363 12.7599 -79 -0.419417 1.25156 10000.5 3.07213 11 22 1 0 1 3248.35 3248.35 30051 
6.99771 2.7461 -79 2.19534 0.401954 10000.5 3.07213 11 23 1 0 1 2622.29 2622.29 22984 
-2.11625 4.25724 -79 0.66693 1.33785 10000.5 3.07213 11 24 1 0 1 3034.86 3034.86 27050 
-8.15774 2.01102 -79 -1.26123 0.17215 10000.5 3.07213 11 25 1 0 1 3424.75 3424.75 31444 
5.5649 -4.63475 -79 -1.21268 -1.31046 10000.5 3.07213 11 26 1 0 1 1928.07 1928.07 16457 
-4.63061 3.10789 -79 1.43487 -1.74454 10000.5 3.07213 11 27 1 0 1 2607.79 2607.79 22093 
1.02954 -5.19479 -79 0.456264 -1.08112 10000.5 3.07213 11 28 1 0 1 2234.12 2234.12 21113 
3.50698 -2.19711 -79 1.76923 0.69622 10000.5 3.07213 11 29 1 0 1 3067.23 3067.23 27946 
-1.92347 -11.9956 -79 1.01359 0.112589 10000.5 3.07213 11 30 1 0 1 4138.21 4138.21 37903 
4.25341 8.72933 -79 -2.97547 -0.123702 10000.5 3.07213 11 31 1 0 1 3049.13 3049.13 27276 
-3.56433 4.29934 -79 -1.82219 0.0799747 10000.5 3.07213 11 32 1 0 1 2758.95 2758.95 24733 
0.159893 2.6107 -79 1.13161 -0.788571 10000.5 3.07213 11 33 1 0 1 4061.2 4061.2 37250 
7.7003 8.5368 -79 -0.230541 -1.57143 10000.5 3.07213 11 34 1 0 1 1517.2 1517.2 13264 
-4.30437 -9.68536 -79 -0.371942 -0.774352 10000.5 3.07213 11 35 1 0 1 3382.03 3382.03 29561 
-1.90046 -0.0474246 -79 -0.44722 -1.18386 10000.5 3.07213 11 36 1 0 1 2608.54 2608.54 23311 
-7.26727 -2.5127 -79 0.0819124 -0.289963 10000.5 3.07213 11 37 1 0 1 3520.18 3520.18 32127 
0.329673 -0.0376744 -79 0.763603 -1.32532 10000.5 3.07213 11 38 1 0 1 1667.36 1667.36 13938 
-0.00341898 -7.10572 -79 -0.793162 -0.758703 10000.5 3.07213 11 39 1 0 1 3630.34 3630.34 32989 
-6.93986 2.65636 -79 0.425465 0.500066 10000.5 3.07213 11 40 1 0 1 2012.13 2012.13 17240 
8.90274 -3.50305 -79 -0.693582 0.228411 10000.5 3.07213 11 41 1 0 1 2021.2 2021.2 16970 
2.22385 2.21987 -79 1.34645 0.871617 10000.5 3.07213 11 42 1 0 1 2450.63 2450.63 21372 
13.561 8.03578 -79 0.687897 -0.146811 10000.5 3.07213 11 43 1 0 1 2509.75 2509.75 21849 
-7.67355 3.30076 -79 0.659779 -2.49211 10000.5 3.07213 11 44 1 0 1 3470 3470 30708 
0.907582 -3.82766 -79 -0.246655 -0.0784341 10000.5 3.07213 11 45 1 0 1 1888.38 1888.38 16310 
13.6723 5.66354 -79 1.56982 -0.0185014 10000.5 3.07213 11 46 1 0 1 3164.49 3164.49 27678 
5.39635 -1.79679 -79 -0.224248 1.29787 10000.5 3.07213 11 47 1 0 1 2874.66 2874.66 26784 
2.19437 -1.46369 -79 0.500382 1.29251 10000.5 3.07213 11 48 1 0 1 2083.73 2083.73 18173 
-8.18389 -5.28378 -79 0.637376 -0.0329683 10000.5 3.07213 11 49 1 0 1 1077.67 1077.67 9543 
15.3256 -0.351602 -79 1.52453 0.512455 10000.5 3.07213 11 50 1 0 1 2323.59 2323.59 20265 
-0.216943 0.608548 -79 0.0279921 0.528414 10000.5 3.07213 11 51 1 0 1 2332.29 2332.29 20754 
-3.57898 10.5455 -79 -1.55055 -0.0152565 10000.5 3.07213 11 52 1 0 1 3043.88 3043.88 27381 
-7.28442 -3.72537 -79 -0.0331459 0.487271 10000.5 3.07213 11 53 1 0 1 4041.01 4041.01 36105 
4.60089 -2.68783 -79 -1.06253 -0.557726 10000.5 3.07213 11 54 1 0 1 2333.38 2333.38 21723 
7.26952 -4.64779 -79 0.947465 -2.65105 10000.5 3.07213 11 55 1 0 1 3120.47 3120.47 28536 
1.40254 5.92507 -79 -2.02953 0.362363 10000.5 3.07213 11 56 1 0 1 2482.92 2482.92 21720 
11.7024 8.39965 -79 2.49373 -1.11846 10000.5 3.07213 11 57 1 0 1 2406.23 2406.23 21649 
3.0338 -13.5688 -79 -1.15517 -1.12306 10000.5 3.07213 11 58 1 0 1 1706.22 1706.22 13989 
3.7592 -0.733419 -79 2.48791 -0.33507 10000.5 3.07213 11 59 1 0 1 3305.6 3305.6 28952 
-11.2794 6.90298 -79 0.152256 1.43919 10000.5 3.07213 11 60 1 0 1 2454.69 2454.69 21615 
