# Det4_8_4
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Edep VisibleEdep Ntracks
2.07186 -5 2.82041 0.220179 1.37613 -3.31643 4.2356 22 1 20725 20724 1 0.331631 0.331631 3 
1.53287 -5 3.97137 0.794388 0.674882 -0.393914 3.58165 22 2 14444 14377 1 0.897825 0.897825 2 
-4.5335 -5 -0.996003 -0.538576 0.946707 -1.63253 3.83426 22 3 28259 28258 1 0 0 1 
-0.787838 -5 3.54822 -0.0593956 0.280889 0.0438401 3.55924 22 5 25671 25121 1 0.0252119 0.0252119 3 
5 1.59105 0.353932 -0.194186 0.468586 0.06196 3.55126 22 6 20297 20269 1 0 0 1 
4.60538 -5 -0.131943 0.0528963 0.502606 -0.0755571 3.59518 22 9 53263 53262 1 0 0 1 
-0.0146084 -5 -4.29882 -0.186308 0.159067 -0.0264115 3.52454 22 11 45898 45799 1 0.246021 0.246021 24 
-2.76029 -5 -3.03302 -0.169319 0.205862 -0.123035 3.68716 22 16 14225 14224 1 0 0 1 
5 -1.40277 -4.01647 -0.198273 0.376998 -0.282277 3.61904 22 18 31982 31949 1 0 0 2 
5 -3.96319 2.17546 -0.416816 0.0702239 -0.404796 3.65905 22 20 14807 14806 1 0 0 1 
-0.75218 0.959519 5 -0.383042 0.835418 -0.767417 3.76958 22 21 21104 21103 1 0 0 1 
-3.16178 -5 3.17975 -0.130756 0.342265 -0.228319 3.87013 22 23 13028 13027 1 0.310587 0.310587 18 
-1.61421 2.02672 5 -0.0581645 0.23317 -0.488958 3.85566 22 25 28978 28923 1 0 0 1 
5 -4.56596 -0.0252553 -0.160834 0.339995 -0.282372 3.66098 22 26 11517 11495 1 0.0141158 0.0141158 2 
5 0.595735 -0.499922 -0.317504 1.01884 -1.13539 3.70313 22 28 4711 4658 1 0.537171 0.537171 3 
-3.3171 -4.59845 5 -0.41023 1.26719 -2.01645 3.89514 22 30 25192 25191 1 0 0 1 
-3.6968 -5 4.89359 -0.24788 0.224386 0.248192 3.52598 22 31 24221 1 1 0 0 1 
-2.57419 -4.20017 5 0.0285198 -0.247461 -0.394953 4.05806 22 35 19574 19573 1 0 0 1 
5 -3.62871 2.97457 -0.200732 -0.00417421 0.0974905 3.57382 22 36 26605 5285 1 0.392791 0.392791 26 
-4.18484 -5 -0.42467 -0.139773 0.168593 0.0333925 3.56702 22 41 41690 41687 1 0 0 1 
-3.62144 5 3.40189 -3.46837 -0.967873 -0.585243 3.65837 -11 43 17439 17438 1 3.06093 3.06093 19 
