#BLTrackFile VirtualDetector/DetSideways
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
-5254.7 8508.12 236.866 -0.636297 1.03011 -0.0994625 37.0656 22 1 1024 1 1
-6453.97 -7638.47 315.201 -1.85247 -2.19889 -0.210492 37.0178 22 1 11206 11071 1
-1905.02 -9816.87 795.967 -0.0851081 -0.441292 -0.00657504 37.1118 22 1 11504 11503 1
5066.86 -8621.3 913.528 1.08728 -1.84959 -0.0334613 36.9215 22 1 14829 14788 1
6511.84 7589.2 1282.35 2.0387 2.37656 0.0707428 36.8823 22 1 15352 15340 1
1369.45 9905.79 502.462 0.158319 1.14323 -0.0611988 36.8438 22 1 16243 16201 1
-3581.87 9336.5 1319.97 -0.243031 0.63487 0.0180775 36.8799 22 1 17158 17157 1
7049.05 7093.01 321.13 0.352499 0.354256 -0.0355902 36.9399 22 1 17997 17996 1
-8564.38 -5162.5 66.2922 -0.937929 -0.566259 -0.104728 36.9283 22 1 19714 19606 1
-9850.32 1723.69 462.323 -6.41576 1.11982 -0.391085 36.9099 22 1 20323 20252 1
9346.4 3555.95 1359.54 5.03154 1.92516 0.156312 37.0075 22 1 20988 20963 1
8876.06 -4606.03 223.838 0.638242 -0.331806 -0.0600506 37.057 22 1 22261 22177 1
-1555.26 -9878.32 362.985 -0.1503 -0.963599 -0.0660519 36.8698 22 1 24885 24883 1
856.064 9963.29 1576.94 0.0252015 0.276789 0.0163485 37.1644 22 1 25486 25474 1
-9975.98 -692.741 711.933 -2.6194 -0.180502 -0.0945627 36.9559 22 1 25805 25660 1
4111.15 -9115.84 1010.21 0.188148 -0.420044 -0.00036455 36.7364 22 1 32412 32119 1
-4953.02 8687.21 1189.61 -3.30232 5.81387 0.0878927 36.8429 22 1 32636 32529 1
6652.49 7466.21 773.968 0.394726 0.443647 -0.0165172 36.8608 22 1 35704 35703 1
7376.74 6751.57 891.372 0.556642 0.505223 -0.0110104 36.7723 22 1 35930 35813 1
-9386.68 -3448.21 876.041 -1.39124 -0.510259 -0.0263919 36.8734 22 1 38014 37941 1
4944.94 8691.81 1715.06 0.186718 0.323367 0.0253002 37.0705 22 2 4436 4377 1
1401.44 -9901.31 582.051 0.0719719 -0.505339 -0.0239246 36.9819 22 2 5820 5799 1
-8819.33 4713.74 54.7009 -0.807468 0.43407 -0.0844876 36.8696 22 2 8105 8102 1
-7253.29 6884.03 488.096 -1.68 1.60932 -0.112726 36.7993 22 2 8109 8102 1
-1426.29 9897.76 1489.69 -0.0691446 0.487818 0.0220734 36.8396 22 2 10865 10334 1
7377.14 6751.13 371.389 0.295251 0.270995 -0.0275054 36.9217 22 2 14723 14722 1
-4427.27 -8966.57 1590.14 -0.237063 -0.478541 0.0276169 36.9362 22 2 16761 16387 1
3011.67 9535.71 1223.36 0.235314 0.74868 0.0135051 36.7136 22 2 19112 19066 1
9981.14 613.856 1320.9 0.544018 0.0336929 0.0160783 36.9053 22 2 25013 25010 1
2834.05 9590 1887.84 0.147037 0.487607 0.041705 36.9572 22 2 25558 25530 1
9313.88 -3640.27 384.896 1.31303 -0.521326 -0.0966005 36.9498 22 2 25693 25672 1
3408.89 9401.04 1182.1 0.229827 0.634969 0.00956319 36.7801 22 2 25884 25882 1
-9261.65 3771.19 578.168 -0.807122 0.329782 -0.0411674 36.8752 22 2 27064 26945 1
7501.55 6612.62 1983.49 0.239983 0.211192 0.0300189 36.9359 22 2 28079 28034 1
-9219 3874.28 1020.91 -0.194383 0.0804447 0.000320611 36.7937 22 2 33042 32948 1
-3646.19 -9311.57 715.468 -0.259249 -0.651505 -0.0178092 36.7091 22 2 33831 33830 1
-9025.54 4305.76 765.495 -0.297429 0.141425 -0.00669271 36.7265 22 2 38787 38754 1
-9450.07 -3270.5 430.277 -0.876632 -0.302795 -0.0543455 36.8644 22 3 3424 3423 1
7431.78 -6690.93 968.228 1.52218 -1.3721 -0.00988131 36.7257 22 3 3490 3423 1
9774 2114 1959.49 0.386055 0.0849265 0.0395819 36.9274 22 3 7523 7503 1
